Group,URL,Description,Info
 Software ,redirection-new.php?URL=68518b75f7cd03bf423dd66e555f31c781544ac27a7bf1495fceb21adf94fb15&NAME=Hyde,Hyde,". Entirely new approach to assess binding affinities and contributions to binding of a complex, with a visual feedback at atomic detail. Hyde shows  which regions of a complex contribute favorably and infavorably to the binding. Allows modifying a molecule interactively to optimize a complex and trigger new lead optimization ideas. Hyde is entirely based on physics-principles and has not been trained or calibrated on experimental data. Distributed by BioSolveIT."
 Software ,redirection-new.php?URL=d5964dc7d3e01242165b6abd1826e576ae4deb026885ce046dafe2ca43bff3e4&NAME=X-score,X-score,. Program for computing the binding affinities of the given ligand molecules to their target protein. X-Score is released to the public for free.
 Software ,redirection-new.php?URL=a7c6228bee193c04937fc841b161a9aff06629696d78e687951f999d708cde00&NAME=NNScore,NNScore,". Python script for computing binding free energies from PDBQT files of the receptor and the ligand, using a neural network approach. Free and open source. Developed by the McCammon Lab, UCSD."
 Web services ,redirection-new.php?URL=ca8d0dadd446312f7de4625fbcd619faf50bbca13ebd3d6691356fc2f629ba42&NAME=DSX<sup>ONLINE</sup>,DSXONLINE,. (Formerly DrugScore
 Web services ,redirection-new.php?URL=d96a61e5dbb5020ad9084c713e01a56cf0a10626bb4db767f266e95a050f82ce&NAME=BAPPLserver,BAPPL server,. Binding Affinity Prediction of Protein-Ligand (BAPPL) server computes the binding free energy of a non-metallo protein-ligand complex using an all atom energy based empirical scoring function.
 Web services ,redirection-new.php?URL=c1a0ad888233f89007d880740ec342dafdfea6294e3d022ef7a2c140ed633ff5&NAME=BAPPL-Zserver,BAPPL-Z server,. Binding Affinity Prediction of Protein-Ligand complex containing Zinc [ BAPPL-Z ] server computes the binding free energy of a zinc containing metalloprotein-ligand complex using an all atom energy based empirical scoring function.
 Web services ,redirection-new.php?URL=23b78b7203ae547718ff8590dc977d7f7d798cb9406694ceedb2077626411a27&NAME=PreDDICTA,PreDDICTA,. Predict DNA-Drug Interaction strength by Computing ΔTm and Affinity of binding.
 Web services ,redirection-new.php?URL=faf966ef24a9cdcd6b72ab7050ca9c6d06d670141671ebcd4d413c9fbb8a5626&NAME=PharmaGist,PharmaGist,. Freely available web server for pharmacophore detection. The download version includes virtual screening capability.
 Web services ,redirection-new.php?URL=21c2b5009ef5e0fca4acbbdc1df0a53772b1befc4aace001a9b2ff23c3e879ea&NAME=IC<sub>50</sub>-to-K<sub>i</sub>converter,IC50-to-Ki converter,. Computes K
 Databases ,redirection-new.php?URL=54c751704fe5f3b7374af6f6a49a238518c0e98384dc785bc0fb2b7be9b836dd&NAME=CLiBE,CLiBE,". Database containing information about Computed Ligand-Receptor Interaction Energy and other attributes such as energy components; ligand classification, functions and properties.  Ligand structure is also included. Provided by the BioInformatics and Drug Design group of the National University of Singapore."
