Group,URL,Description,Info
 Software ,redirection-new.php?URL=41834b2a8b7274aa4b838f9a8771d2fbbaa19be754d404930483e240036c59db&NAME=QikProp,QikProp,. Provides rapid ADME predictions of drug candidates. Distributed by Schrodinger.
 Software ,redirection-new.php?URL=775d71cf2e2d6f8079ac633a4e876aee5b73ea645a7e68f6fdd3ecd9ac3df616&NAME=VolSurf,VolSurf,. Calculate ADME Properties and Create Predictive ADME Models. Distributed by Tripos.
 Software ,redirection-new.php?URL=6c373af479ce3687d8a4940a62d6f21724c0197e741479a552a939c5fb99dfeb&NAME=GastroPlus,GastroPlus,". Simulates the oral absorption, pharmacokinetics, and pharmacodynamics for drugs in human and preclinical species. The underlying model is the Advanced Compartmental Absorption and Transit (ACAT) model. Distributed plu Simulation Plus, Inc."
 Software ,redirection-new.php?URL=9bae64eec4e3f76b71148f40319e8de22579aa432a3d88b8853349d79f2d5e34&NAME=MedChemStudio,MedChem Studio,". Cheminformatics platform for computational and medicinal chemists supporting lead identification and optimization, in silico ligand based design, and clustering/classifying of compound libraries. It is integrated with MedChem Designer and ADMET Predictor. Distributed by Simulation Plus, Inc."
 Software ,redirection-new.php?URL=2d2353bec05774d5a3f59d15405d2a6f70b9d75645c6cbd5907ba641c1ec2d9b&NAME=ADMETPredictor,ADMET Predictor,". Software for advanced predictive modeling of ADMET properties. ADMET Predictor estimates a number of ADMET properties from molecular structures, and is also capable of building predictive models of new properties from user's data via its integrated ADMET Modeler module. Distributed by Simulations Plus, Inc."
 Software ,redirection-new.php?URL=23ec1a910c026e4d8ea2df2ca8845819dc6ecc731343dfc43f6f44756cf0d8fb&NAME=DDDPlus,DDDPlus,". Models and simulates the in vitro dissolution of active pharmaceutical ingredients (API) and formulation excipients dosed as powders, tablets, capsules, and swellable or non-swellable polymer matrices under various experimental conditions. Distributed by Simulations Plus, Inc."
 Software ,redirection-new.php?URL=4d0088c12a29fae062cdf2470f1f1773d7c8fa458d54b42253c68f3c7d5e63fe&NAME=ADMEWORKSModelBuilder,ADMEWORKS ModelBuilder,". Builds QSAR/QSPR models that can later be used for predicting various chemical and biological properties of compounds. Models are based on values of physicochemical, topological, geometrical, and electronic properties derived from the molecular structure, and can be imported into ADMEWORKS Predictor."
 Software ,redirection-new.php?URL=4d0088c12a29fae062cdf2470f1f1773d7c8fa458d54b42253c68f3c7d5e63fe&NAME=ADMEWORKSPredictor,ADMEWORKS Predictor,. QSAR based Virtual (in silico) screening system intended for simultaneous evaluation of the properties of compounds.
 Software ,redirection-new.php?URL=da1c5f94667ef16cbf388e4f6aa9b1ac9288e26ea91d9da27e993463c1af344a&NAME=MedChemDesigner,MedChem Designer,". Tool that combines molecule drawing features with a few free ADMET property predictions from ADMET Predictor.  Distributed by Simulations Plus, Inc."
 Software ,redirection-new.php?URL=dff691c35ef9c93cd2025afe7d0af19f044c9159763978f1829082ffa4590d47&NAME=IMPACT-F,IMPACT-F,". Expert system to estimate oral bioavailability of drug-candidates in humans. IMPACT-F is composed of several QSAR models to predict oral bioavailability in humans. Developed by PharmaInformatic, Germany."
 Software ,redirection-new.php?URL=c0428f69ebfb4d9e533c58f3232ac7ed506b5e5bc1dffbef7c929e11292bfeaa&NAME=MolScore-Drugs,MolScore-Drugs,". Expert system to identify and prioritise drug candidates. Developed by PharmaInformatic, Germany."
 Software ,redirection-new.php?URL=78620a33d3ad6a0180bab9e5864a8a55cb647f744feb6590662d9ded3086f959&NAME=Naturalproductlikenesscalculator,Natural product likeness calculator,". Calculates Natural Product(NP)-likeness of a molecule, i.e. the similarity of the molecule to the structure space covered by known natural products. NP-likeness is a useful criterion to screen compound libraries and to design new lead compounds. Free and open source."
 Software ,redirection-new.php?URL=44e0077eb898922ba7184db496ad7b2a8c90878683fd1fcb9bcf73e6b1b12074&NAME=ADMETModeler,ADMET Modeler,". Integrated module of ADMET Predictor that automates the process of making high quality predictive structure-property models from sets of experimental data. It works seamlessly with ADMET Predictor structural descriptors as its inputs, and appends the selected final model back to ADMET Predictor as an additional predicted property. Distributed by Simulations Plus, Inc."
 Software ,redirection-new.php?URL=4c6d759a97347db8a7a24867cb53c961839ced25040da35b498340c88dcd4eea&NAME=Metabolizer,Metabolizer,". Enumerates all the possible metabolites of a given substrate, predicts the major metabolites and estimates metabolic stability. It can be used for the identification of metabolites by MS mass values, discovery of metabolically sensitive functionalities and toxicity prediction, and provide information related to the environmental effects of chemicals by bacterial degradation. Provided by ChemAxon."
 Software ,redirection-new.php?URL=2897fd52e0b7e34141cab4174366de73cc8bf9c72410801f4c05313dcd402174&NAME=ACD/PhysChemSuite,ACD/PhysChem Suite,". Predicts basic physicochemical properties, like pKa, logP, logD, aqueous solubility and other molecular properties in seconds, usr a fragment-based models. Distributed by ACD/Labs."
 Software ,redirection-new.php?URL=69205ad8f6c3260e07e882eed9a63adec0da8d1d831cacab2eaec71a671c3f50&NAME=ACD/ADMESuite,ACD/ADME Suite,". Predicts of ADME properties from chemical structure, like Predict P-gp specificity, oral bioavailability, passive absorption, blood brain barrier permeation, distribution, P450 inhibitors, substrates and inhibitors, maximum recommended daily dose, Abraham-type (Absolv) solvation parameters. Distributed by ACD/Labs."
 Software ,redirection-new.php?URL=66917c96c55a1c763c7b00295f26c575b34535a9b034e6a951c3114cdc3df71d&NAME=ACD/ToxSuite,ACD/Tox Suite,". Collection of software modules that predict probabilities for basic toxicity endpoints. Several modules including hERG Inhibition, CYP3A4 Inhibition, Genotoxicity, Acute Toxicity, Aquatic Toxicity, Eye/Skin Irritation, Endocrine System Disruption, and Health Effects. Distributed by ACD/Labs."
 Software ,redirection-new.php?URL=ccf1ccfb2591d876c45ed253bc4a7041607c68323e358df0467bc9e27a8b653a&NAME=ACD/DMSOSolubility,ACD/DMSO Solubility,. Predicts solubility in DMSO solution. Distributed by ACD/Labs.
 Software ,redirection-new.php?URL=b6a76ae20d9759e897e2f432121a60c346b1efeb13f2cd174f2b35a1b25ecf62&NAME=Filter-it,Filter-it,. Command-line program for filtering molecules with unwanted properties out of a set of molecules. The program comes with a number of pre-programmed molecular properties that can be used for filtering. Open source software distributed by Silicos.
 Software ,redirection-new.php?URL=27b7a6dac0f5171b02c413285205833401ec68d197a234bdef1a798c705dd190&NAME=VirtualLogP,Virtual LogP,. Bernard Testa's Virtual logP calculator. Provided by the Drug Design Laboratory of the University of Milano.
 Software ,redirection-new.php?URL=a6255c312d575bab709d7aa14470acc6c533290139b5397c06054fadae8428fd&NAME=FAF-Drugs2,FAF-Drugs2,. Free package for in silico ADMET filtering. Distributed by the university of Paris Diderot.
 Software ,redirection-new.php?URL=17a84dd4f544a8376064a50d30df699de9dad3002438d8db77c0270aaa269263&NAME=DiscoveryStudioTOPKATSoftware,Discovery Studio TOPKAT Software,. Cross-validated models for the assessments of chemical toxicity from chemical's molecular structure. Distributed by Accelrys.
 Software ,redirection-new.php?URL=a6b20944ba2a3955bd48182597de98dd85d2d79e0434a62d9b14e43462c3bffe&NAME=DiscoveryStudioADMETSoftware,Discovery Studio ADMET Software,". The ADMET Collection provides components that calculate predicted absorption, distribution, metabolism, excretion, and toxicity (ADMET) properties for collections of molecules. Distributed by Accelrys."
 Software ,redirection-new.php?URL=9bf2c783085ad0392655b23e6cdb37086674fd8fac49e109dac1b1d2a0eb7bde&NAME=PreADME,PreADME,. Calculates molecular descriptors. Predicts Drug-likeness. ADME predictions.
 Software ,redirection-new.php?URL=7e1cd43da129ca33207a51752f4b976ed5c9fda0e94d573b16a533c87fe891e0&NAME=MolcodeToolbox,Molcode Toolbox,". Molcode Toolbox allows prediction of medicinal and toxicological endpoints for a large variety of chemical structures, using proprietary QSAR models."
 Software ,redirection-new.php?URL=d83bd79a51e48b1923ec8557cd74dba6f938e39a3fdb60d6781af55eba7a7cba&NAME=KOWWIN-EPISuite,KOWWIN - EPI Suite,. Estimates the log octanol-water partition coefficient of chemicals using an atom/fragment contribution method. Distributed by the EPA~s Office of Pollution Prevention Toxics and Syracuse Research Corporation (SRC) as part of the EPI Suite. For Windows.
 Software ,redirection-new.php?URL=143e05f99b74a1a3c70a15ebe384675841954b5870a4a8d6cc7fefad8d087921&NAME=ADRIANA.Code,ADRIANA.Code,". Program to calculate physico-chemical properties of small molecules: number of H-bonds donor and acceptors, logP, logS, TPSA, dipole moment, polarizability, etc. Distributed by Molecular Networks."
 Software ,redirection-new.php?URL=b154da07e3d4efd38f66cbe478c45c372a67c814873138e2d72df84fe1a58973&NAME=DerekNexus,Derek Nexus,. Predicts toxicity properties using QSAR and other expert knowledge rules. Distributed by Lhasa Limited.
 Software ,redirection-new.php?URL=c0788fbaac09c08372fd062ef0ae0bfc4281721cd056a6f8d81c14ae18e051a4&NAME=Meteor,Meteor,. Predicts metabolic fate of chemicals using other expert knowledge rules in metabloism. Distributed by Lhasa Limited.
 Software ,redirection-new.php?URL=c6fe2ce5a9ff044560152424e15e2dd15d8e4749866f3c561c41e9ea8f2c2127&NAME=OncoLogic,OncoLogic,". Evaluates the likelihood that a chemical may cause cancer, using SAR analysis, experts decision mimicking and knowledge of how chemicals cause cancer in animals and humans. Distributed for free by the US Environmental Protection Agency (EPA)."
 Software ,redirection-new.php?URL=7e65224b5bcc8540a5f433f481a46f01231c51f98a00f08a90b30d9c57ecb657&NAME=HazardExpertPro,HazardExpert Pro,. Predicts the toxicity of organic compounds based on toxic fragments. Distributed by CompuDrug.
 Software ,redirection-new.php?URL=752ed6791f3ac614e5280cc6220b83a7af5bf66b4cb395816fb0e4c4867477ae&NAME=MetabolExpert,MetabolExpert,". Predicts the most common metabolic pathways in animals, plants or through photodegradation. Distributed by CompuDrug."
 Software ,redirection-new.php?URL=cf0ccb25aa77fcaa52926c25bf0cb4ba833338ae1fa4856b9388f74d53d76e2c&NAME=MEXAlert,MEXAlert,. Identifies compounds that have a high probability of being eliminated from the body in a first pass through the liver and kidney. Distributed by CompuDrug.
