Group,URL,Description,Info
 Software ,redirection-new.php?URL=9c917731c140e519cd5715b8c03fcd5646495138c7cd0aa8f72fb1974ee02a21&NAME=Modeller,Modeller,". Software for producing homology models of protein tertiary structures, using a technique inspired by nuclear magnetic resonance known as satisfaction of spatial restraints. Maintained by Andrej Sali at the University of California, San Francisco. Free for academic use. Graphical user interfaces and commercial versions are distributed by Accelrys."
 Software ,redirection-new.php?URL=dd0fdb7827f639cd61ebdf3bbdb89bf5f807d7cc45e75cba45e5d614eef074d8&NAME=I-TASSER,I-TASSER,. Internet service for protein structure and function predictions. Models are built based on multiple-threading alignments by LOMETS and iterative TASSER simulations. I-TASSER (as 'Zhang-Server') was ranked as the No 1 server in recent CASP7 and CASP8 experiments. Exists as a standalone package. Provided by the University of Michigan.
 Software ,redirection-new.php?URL=c84e74fdbc41ff38ab8e77635cba41ec7d7d5dc5bf5a255d79d26e2c28d3b8bb&NAME=LOMETS,LOMETS,". (Local Meta-Threading-Server). On-line web service for protein structure prediction. It generates 3D models by collecting high-scoring target-to-template alignments from 8 locally-installed threading programs (FUGUE, HHsearch, MUSTER, PPA, PROSPECT2, SAM-T02, SPARKS, SP3). Exists as a standalone package. Provided by the University of Michigan."
 Software ,redirection-new.php?URL=8308facd474c34ae9fc3f525a75bc725f9a0d6d97d9657f72c4f2d0685e6ea2d&NAME=MPACK,MPACK,. (Modeling Package). Integrated protein modeling suite that currently handles comparative and ab initio modeling procedures. The objective of this suite is to systematically bring different steps (or programs) under one roof in order to facilitate rapid model generation with minimal user effort and to create a biological data-flow pipeline for large scale-scale modeling of protein sequences from genomic projects. Provided by the University of Texas.
 Software ,redirection-new.php?URL=4371fc309b424ce02a04cfe6556e0aeb6595f26b6e11660a4bb20da7e7ec6a03&NAME=ProModel,ProModel,". Allows homology modeling from either a selected template or a user defined template. Modeling in manual mode allows mutation, excision, deletion, insertion of residues or insertion of a loop by selecting the start and end anchors. Automated homology modeling can be performed by reading in the template file obtained from a local BLAST. ProModel enables analysis of the target protein structure, active site and channels. Provided by VLife."
 Software ,redirection-new.php?URL=4567a1335f399389e0b94997f3c1ded9a82a87e73ecb0087892292cae52ba6ad&NAME=SCRWL,SCRWL,". Program for prediction of protein sice chains prediction, based on the Dunbrack backbone-dependent rotamer library. Provided by the Dunbrack Lab."
 Software ,redirection-new.php?URL=43d31d2b6f7ccdb83a3d44483a3e5549bf4f16ce16426dca50f64dcfa5bc3406&NAME=Biskit,Biskit,". Free and open source modular, object-oriented Python library for structural bioinformatics research that wraps external programs (BLAST, T-Coffee and Modeller) into an automated workflow. Developed by the institut Pasteur."
 Software ,redirection-new.php?URL=4070bc469910c6ae6288beb9e48ca3cf687a98ff4824272dde2811b5520f1436&NAME=ModPipe,ModPipe,". Completely automated software pipeline that can calculate protein structure models for a large number of sequences with almost no manual intervention. In the simplest case, it takes as input a sequence identifier and a configuration file and produces one or more comparative models for that sequence. Free and open source software. Maintained by Andrej Sali at the University of California, San Francisco."
 Software ,redirection-new.php?URL=2c7d95d6dea695f14f25c10fa974838dccee3cb4a69862ed37340ab1e6de9a45&NAME=RaptorX,RaptorX,". Protein structure prediction program developed by Xu group, with a particular focus on the alignment of distantly-related proteins with sparse sequence profile and that of a single target to multiple templates. Currently, RaptorX consists of four major modules: single-template threading, alignment quality assessment, multiple-template threading and fragment-free approach to free modeling. Also exists as a web service."
 Software ,redirection-new.php?URL=e50e6064955bc1bc9deedffb06a36a4f35ac5820408849581adb84ed71341f5e&NAME=Prime,Prime,". Fully-integrated protein structure prediction program, providing graphical interface, sequence alignment, secondary structure prediction, homology modeling, protein refinement, loop-prediction, and side-chain prediction. Developed by Schrödinger."
 Software ,redirection-new.php?URL=51efa6fbc4c384d2e165a6c742b35a2ebde982607049b74501bc6ee57de548ea&NAME=ProSide,ProSide,". Predicts protein sidechain conformation. Since the residue-substitution by the target amino-acid sequence is possible, ProSide can be used also for simple homology modeling, in case there are neither insertion nor deletion. Can perform global optimization calculation of a complex, by putting ligand to a binding site, and optimizing positions and conformations of ligand and amino-acid sidechains. Distributed by IMMD."
 Software ,redirection-new.php?URL=2130a490fcd8e946f586db0d6bf3e953c0d86a546a4715f52e36cfed272d31f3&NAME=CABS,CABS,". Versatile reduced representation tool for molecular modeling, including: de novo folding of small proteins, comparative modeling (especially in cases of poor templates) and structure prediction based on sparse experimental data. Developed by the Warsaw University."
 Web services and databases ,redirection-new.php?URL=cbbe7a70c7159882daa2c7b9fe9e7dec60d848325a9267afb8f8d55d8d7e4ffe&NAME=SWISS-MODEL,SWISS-MODEL,". Fully automated protein structure homology-modeling server, accessible via the ExPASy web server, or from the program DeepView (Swiss Pdb-Viewer)."
 Web services and databases ,redirection-new.php?URL=cbbe7a70c7159882daa2c7b9fe9e7dec60d848325a9267afb8f8d55d8d7e4ffe&NAME=SWISS-MODELRepository,SWISS-MODEL Repository,. Database of annotated three-dimensional comparative protein structure models generated by the fully automated homology-modelling pipeline SWISS-MODEL.
 Web services and databases ,redirection-new.php?URL=ccd218386cbdcf170cfe144f813d7b49091c27c1aa7543e0c15f809840ab6634&NAME=Robetta,Robetta,. Web server. Rosetta homology modeling and ab initio fragment assembly with Ginzu domain prediction.
 Web services and databases ,redirection-new.php?URL=038f1c3d61e2ef0d175e9480423765ded997edfd102f486e038278e13096d2f8&NAME=ModWeb,ModWeb,". Server for Protein Structure Modeling based on the Modeller program. Maintained by Andrej Sali at the University of California, San Francisco."
 Web services and databases ,redirection-new.php?URL=dd0fdb7827f639cd61ebdf3bbdb89bf5f807d7cc45e75cba45e5d614eef074d8&NAME=I-TASSER,I-TASSER,. Internet service for protein structure and function predictions. Models are built based on multiple-threading alignments by LOMETS and iterative TASSER simulations. I-TASSER (as 'Zhang-Server') was ranked as the No 1 server in recent CASP7 and CASP8 experiments. Exists as a standalone package. Provided by the University of Michigan.
 Web services and databases ,redirection-new.php?URL=2c7d95d6dea695f14f25c10fa974838dccee3cb4a69862ed37340ab1e6de9a45&NAME=RaptorXwebserver,RaptorX web server,". Protein structure prediction web server developed by Xu group, with a particular focus on the alignment of distantly-related proteins with sparse sequence profile and that of a single target to multiple templates. Currently, RaptorX consists of four major modules: single-template threading, alignment quality assessment, multiple-template threading and fragment-free approach to free modeling. Due to limited computational power, this server offers the first three modules for regular usage. Also exists as a standalone program."
